X,Y,id,name
9.2954038,49.6217982,node/59936125,Rippberg
6.8206055,49.7308543,node/59954802,Herl
6.8475349,49.7385154,node/59954805,Lorscheid
6.7466119,49.7471253,node/59954916,Waldrach
6.7643213,49.7248774,node/59955029,Riveris
8.7091986,49.0739932,node/60044111,Büchig
8.6856885,49.0713712,node/60044117,Neibsheim
8.802283,49.0636846,node/60044456,Oberderdingen
8.8532565,49.0263256,node/60135842,Diefenbach
8.8510968,49.0499637,node/60135955,Sternenfels
8.8335471,49.6140773,node/60176680,Scharbach
8.153936,49.3761741,node/60272356,Gimmeldingen
8.4126428,49.1291444,node/60595997,Linkenheim-Hochstetten
8.2859985,49.5106351,node/60626443,Lambsheim
6.9481877,49.6554515,node/60720774,Hermeskeil
6.9708379,49.6059466,node/60720777,Nonnweiler
6.9011425,49.7055716,node/60720785,Hinzert
6.9096556,49.6997687,node/60720786,Pölert
8.7151408,49.2583899,node/60735619,Rotenberg
8.5930329,49.3927294,node/70697182,Plankstadt
6.7136463,49.6901692,node/70912693,Pluwig
6.6874368,49.6842783,node/70913401,Franzenheim
8.3960691,49.0791031,node/72783176,Eggenstein
8.0824098,49.0581256,node/74042819,Schaidt
7.9560342,49.0545613,node/74106494,Schweigen-Rechtenbach
7.9153099,49.7084844,node/76469155,Kriegsfeld
7.8680562,49.7207444,node/76470494,Oberhausen an der Appel
9.1892332,49.0474301,node/76694684,Neckarwestheim
9.1560581,49.0259996,node/76776406,Gemmrigheim
6.5043677,49.7109299,node/78302191,Oberbillig
6.4632795,49.6903047,node/78320148,Temmels
6.5941798,49.4903857,node/79608445,Mettlach
6.704062,49.3877286,node/79930409,Beckingen
6.9644654,49.4073926,node/79948317,Eppelborn
7.027472,49.3445751,node/79950188,Göttelborn
7.0573454,49.3574002,node/79950470,Merchweiler
6.6846642,49.3771121,node/79962296,Rehlingen
6.6676921,49.3611032,node/79963225,Siersburg
7.052847,49.3260163,node/80076497,Quierschied
7.0830577,49.3738524,node/80081132,Wemmetsweiler
6.859519,49.2522866,node/80120768,Völklingen
6.7956291,49.2751251,node/80129868,Bous
6.7183652,49.3277048,node/80154047,Wallerfangen
8.5408047,49.2443691,node/81132243,Kirrlach
6.5714944,49.6370255,node/81605620,Biebelhausen
6.856292,49.4123019,node/81671810,Primsweiler
6.8063014,49.3527139,node/81716069,Saarwellingen
8.1150442,49.0663877,node/83643531,Freckenfeld
8.1463809,49.0711967,node/83644462,Minfeld
7.9991268,49.1028075,node/83645986,Bad Bergzabern
8.0395996,49.1611001,node/84758390,Göcklingen
8.7720814,49.1384019,node/95895068,Menzingen
8.825661,49.2967457,node/96999250,Zuzenhausen
8.8756241,49.2105821,node/97009325,Weiler
8.9840589,49.1566963,node/97548667,Gemmingen
8.0956948,49.2434444,node/102364149,Flemlingen
8.1185258,49.2456857,node/102364227,Roschbach
8.0760182,49.2479829,node/102365258,Burrweiler
8.0659943,49.2411982,node/102366174,Gleisweiler
8.0506907,49.2098613,node/102367870,Siebeldingen
8.0299651,49.2189513,node/102367938,Albersweiler
8.037022,49.2048302,node/102368766,Birkweiler
8.0321597,49.1970339,node/102369350,Ranschbach
8.0204907,49.1825066,node/102370065,Leinsweiler
8.1480501,49.1571411,node/102370757,Insheim
8.2508767,49.1924269,node/102371652,Knittelsheim
8.8628361,49.3216701,node/102933983,Eschelbronn
8.9743343,49.4020866,node/103025381,Schwanheim
9.0708092,49.4003125,node/103038546,Neckargerach
9.1389267,49.4002624,node/105667958,Lohrbach
9.1489873,49.4734161,node/105720578,Wagenschwend
7.0352964,49.1585603,node/105913937,Kleinblittersdorf
7.2450805,49.6865866,node/116790060,Niederbrombach
8.0821264,49.1355756,node/124283164,Ingenheim
8.0826414,49.1413032,node/124283580,Appenhofen
8.095001,49.1307459,node/124287393,Mühlhofen
8.0998582,49.1382493,node/124287517,Billigheim
8.0572355,49.1398433,node/124295973,Klingen
