X,Y,id,name
11.133622,48.1673595,node/26155535,Jesenwang
11.1705596,48.163385,node/26155537,Landsberied
11.820341,48.5875267,node/26155890,Hebrontshausen
11.8295668,48.5824895,node/26155891,Grafendorf
11.8106006,48.6153817,node/26155892,Kleingundertshausen
11.9006638,48.4738609,node/26158461,Niederambach
11.862907,48.4827478,node/26158467,Bergen
11.8207642,48.501378,node/26158488,Unterappersdorf
11.800123,48.497835,node/26158490,Oberappersdorf
11.7601946,48.5057366,node/26158491,Attenkirchen
11.8105595,48.5567996,node/26159320,Hausmehring
11.7539997,48.5373402,node/26159779,Reichertshausen
11.7507947,48.5838077,node/26159805,Enzelhausen
11.7680309,48.5900798,node/26159813,Rudelzhausen
11.7737217,48.6081605,node/26159837,Puttenhausen
11.792714,48.4835356,node/26211304,Gerlhausen
11.7864558,48.4707179,node/26270979,Thann
8.3816858,48.9137186,node/26282743,Oberweier
10.281931,47.5135363,node/26315938,Sonthofen
9.5794661,48.9797657,node/26316629,Murrhardt
11.4403658,48.3603777,node/26335130,Pasenbach
11.5301338,48.3255375,node/26341612,Amperpettenbach
11.5704482,48.374208,node/26360229,Appercha
11.6381168,48.3480923,node/26360231,Massenhausen
11.7084216,48.3454434,node/26360331,Achering
11.5961769,48.3357733,node/26419435,Hörenzhausen
11.7445128,48.3182064,node/26419530,Hallbergmoos
11.6874543,48.3182682,node/26422669,Mintraching-Grüneck
11.6468515,48.3645501,node/26424663,Giggenhausen
11.6431921,48.3773449,node/26424665,Sickenhausen
11.6315457,48.3840133,node/26424683,Gremertshausen
11.6741073,48.5335524,node/26425678,Abens
11.8043442,48.5370361,node/26425704,Nandlstadt
11.7841572,48.5225753,node/26425705,Aiglsdorf
11.8443896,48.4833554,node/26425717,Seeberg
11.8725518,48.408935,node/26425926,Gaden
11.9523399,48.5003953,node/26439169,Volkmannsdorf
11.8720448,48.4966833,node/26441771,Sixthaselbach
11.8688941,48.5081654,node/26441773,Schweinersdorf
11.9471187,48.5541355,node/26443668,Gammelsdorf
11.905011,48.5373573,node/26443673,Enghausen
11.9153408,48.550319,node/26443717,Priel
11.7218107,48.4398842,node/26446043,Haindlfing
11.7040029,48.4598339,node/26446044,Palzing
11.676575,48.4562685,node/26446309,Helfenbrunn
11.6687891,48.4430679,node/26446310,Burghausen
11.6833323,48.4392963,node/26446311,Wippenhausen
11.3851181,48.279239,node/26458678,Unterbachern
11.8002136,48.5796316,node/26458881,Tegernbach
11.6870569,48.5712788,node/26474332,Rudertshausen
11.8209039,48.4811134,node/26487244,Obermarchenbach
11.8340003,48.4735194,node/26487246,Mittermarchenbach
11.7719829,48.4640859,node/26488054,Flitzing
11.7699974,48.4875976,node/26488055,Thalham
11.7800013,48.4970451,node/26488476,Wimpasing
11.7952027,48.5197917,node/26488477,Figlsdorf
11.7381537,48.4638199,node/26517951,Siechendorf
11.7385485,48.4786254,node/26518097,Thonhausen
11.7699134,48.5133889,node/26518686,Weihersdorf
11.7671139,48.4970135,node/26518687,Kronsdorf
11.7620015,48.4396002,node/26519330,Erlau
11.827855,48.4360045,node/26519342,Kleinviecht
11.8183355,48.4313259,node/26519343,Großenviecht
11.6183364,48.3327393,node/26536245,Fürholzen
11.5249719,48.3991903,node/26539159,Weißling
11.4650755,48.4350272,node/26539163,Oberhausen
11.5229952,48.4238467,node/26539164,Hohenkammer
11.4802498,48.4266685,node/26539171,Obermarbach
11.5008766,48.427052,node/26539172,Mittermarbach
11.5142353,48.4315808,node/26539173,Untermarbach
11.4691096,48.4421983,node/26539174,Pischelsdorf
11.5474045,48.4914467,node/26539267,Entrischenbrunn
11.5650146,48.4734938,node/26539268,Paunzhausen
11.5825651,48.464717,node/26539269,Schernbuch
11.6029551,48.4545697,node/26539270,Aiterbach
11.6048142,48.5039411,node/26539333,Schweitenkirchen
11.6521236,48.5049277,node/26539403,Holzhausen
11.6509779,48.5172379,node/26540825,Sünzhausen
11.6884609,48.4799635,node/26540941,Jägersdorf
11.6987169,48.4835303,node/26540978,Billingsdorf
8.7452043,48.7112108,node/26595210,Calw
8.7321279,48.7712716,node/26595247,Bad Liebenzell
11.7439565,48.4008273,node/26597860,Freising
11.427249,48.3372482,node/26605666,Großinzemoos
11.506262,48.3677519,node/26606117,Giebing
11.8185684,48.4086931,node/26608594,Rudlfing
11.8334118,48.4116837,node/26608621,Hangenham
11.8304698,48.4235449,node/26608643,Schmidhausen
11.8276735,48.0848806,node/26610114,Zorneding
11.7995627,48.4352379,node/26611017,Unterberghausen
11.7883254,48.4227801,node/26611027,Goldshausen
11.7824048,48.4282846,node/26611537,Jaibling
11.7713653,48.4199732,node/26612153,Altenhausen
11.7498032,48.4285448,node/26615454,Tüntenhausen
11.7757396,48.434106,node/26616962,Zurnhausen
8.4655586,48.8182578,node/26618914,Rotensol
11.4582026,48.30988,node/26621780,Reipertshofen
11.4494435,48.3055108,node/26621781,Unterweilbach
11.2401566,48.8606793,node/26728052,Pietenfeld
11.1426548,48.925543,node/26728066,Rupertsbuch
11.0584812,48.9661696,node/26728068,Rothenstein
11.8111974,48.422321,node/26842224,Eixendorf
11.8073929,48.419758,node/26842225,Brunnhofen
11.190575,48.3920881,node/26859894,Raderstetten
11.4361469,48.9457346,node/26869435,Gelbelsee
